2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.workload:start_execution:103 | Workload wl_batch_000023 started execution at 44.00s (queued for 0.00s)
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.resources:schedule_on_host:247 | Container container_wl_batch_000024 scheduled on host demo-host-08
2025-09-19 00:06:56 | INFO     | cloud_scheduler.scheduling.baseline:_place_workload_on_host:126 | Workload wl_batch_000024 scheduled on host demo-host-08
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.workload:start_execution:103 | Workload wl_batch_000024 started execution at 46.00s (queued for 0.00s)
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.resources:schedule_on_host:247 | Container container_wl_batch_000025 scheduled on host demo-host-08
2025-09-19 00:06:56 | INFO     | cloud_scheduler.scheduling.baseline:_place_workload_on_host:126 | Workload wl_batch_000025 scheduled on host demo-host-08
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.workload:start_execution:103 | Workload wl_batch_000025 started execution at 48.00s (queued for 0.00s)
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.resources:schedule_on_host:247 | Container container_wl_batch_000026 scheduled on host demo-host-09
2025-09-19 00:06:56 | INFO     | cloud_scheduler.scheduling.baseline:_place_workload_on_host:126 | Workload wl_batch_000026 scheduled on host demo-host-09
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.workload:start_execution:103 | Workload wl_batch_000026 started execution at 50.00s (queued for 0.00s)
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.resources:schedule_on_host:247 | Container container_wl_batch_000027 scheduled on host demo-host-09
2025-09-19 00:06:56 | INFO     | cloud_scheduler.scheduling.baseline:_place_workload_on_host:126 | Workload wl_batch_000027 scheduled on host demo-host-09
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.workload:start_execution:103 | Workload wl_batch_000027 started execution at 52.00s (queued for 0.00s)
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.resources:schedule_on_host:247 | Container container_wl_batch_000028 scheduled on host demo-host-08
2025-09-19 00:06:56 | INFO     | cloud_scheduler.scheduling.baseline:_place_workload_on_host:126 | Workload wl_batch_000028 scheduled on host demo-host-08
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.workload:start_execution:103 | Workload wl_batch_000028 started execution at 54.00s (queued for 0.00s)
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.resources:schedule_on_host:247 | Container container_wl_batch_000029 scheduled on host demo-host-09
2025-09-19 00:06:56 | INFO     | cloud_scheduler.scheduling.baseline:_place_workload_on_host:126 | Workload wl_batch_000029 scheduled on host demo-host-09
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.workload:start_execution:103 | Workload wl_batch_000029 started execution at 56.00s (queued for 0.00s)
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.resources:schedule_on_host:247 | Container container_wl_batch_000030 scheduled on host demo-host-10
2025-09-19 00:06:56 | INFO     | cloud_scheduler.scheduling.baseline:_place_workload_on_host:126 | Workload wl_batch_000030 scheduled on host demo-host-10
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.workload:start_execution:103 | Workload wl_batch_000030 started execution at 58.00s (queued for 0.00s)
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.resources:schedule_on_host:247 | Container container_wl_batch_000031 scheduled on host demo-host-10
2025-09-19 00:06:56 | INFO     | cloud_scheduler.scheduling.baseline:_place_workload_on_host:126 | Workload wl_batch_000031 scheduled on host demo-host-10
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.workload:start_execution:103 | Workload wl_batch_000031 started execution at 60.00s (queued for 0.00s)
2025-09-19 00:06:56 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000032 - no suitable hosts
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.resources:schedule_on_host:247 | Container container_wl_batch_000033 scheduled on host demo-host-10
2025-09-19 00:06:56 | INFO     | cloud_scheduler.scheduling.baseline:_place_workload_on_host:126 | Workload wl_batch_000033 scheduled on host demo-host-10
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.workload:start_execution:103 | Workload wl_batch_000033 started execution at 64.00s (queued for 0.00s)
2025-09-19 00:06:56 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000034 - no suitable hosts
2025-09-19 00:06:56 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000035 - no suitable hosts
2025-09-19 00:06:56 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000036 - no suitable hosts
2025-09-19 00:06:56 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000037 - no suitable hosts
2025-09-19 00:06:56 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000038 - no suitable hosts
2025-09-19 00:06:56 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000039 - no suitable hosts
2025-09-19 00:06:56 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000040 - no suitable hosts
2025-09-19 00:06:56 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000041 - no suitable hosts
2025-09-19 00:06:56 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000042 - no suitable hosts
2025-09-19 00:06:56 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000043 - no suitable hosts
